source,Name,Research Summary,PI History,Student History,Key Words,Link to Lab Site
C:\Users\koand\Downloads\new_scrapes\Json\Amassian‬.json,"Aram, Amassian","The Amassian Research Lab focuses on developing organic and hybrid materials for next-generation energy technologies, particularly in the realm of solar energy and solution-processed devices. The group aims to achieve breakthroughs in scalable, sustainable, and low-cost manufacturing through ink-based additive manufacturing and advanced characterization techniques. Recent research includes innovations in perovskite solar cells and organic photovoltaics, emphasizing stability and efficiency improvements. The lab also explores the integration of robotics in material synthesis and device fabrication.","- 2019 – Associate Professor, North Carolina State University
- Unknown – Postdoctoral Researcher, Cornell University
- Unknown – Postdoctoral Researcher, KAUST","The Amassian Research Lab is actively seeking talented graduate students and postdoctoral researchers to join its team. The lab emphasizes a collaborative environment that fosters innovation and discovery in the field of materials science. Alumni from the lab have gone on to pursue successful careers in academia and industry, contributing to advancements in energy technologies.","organic photovoltaics, hybrid materials, solar energy, additive manufacturing, perovskite solar cells, sustainable energy, ink-based manufacturing, robotic experimentation",https://mse.ncsu.edu/amassian/
C:\Users\koand\Downloads\new_scrapes\Json\Augustyn‬.json,"Unknown, Augustyn","The Augustyn Group investigates materials at electrochemical interfaces for the development of clean-energy technologies. Their research focuses on pseudocapacitive oxide materials for high-rate electrochemical energy storage, exploring the properties of transition metal oxides and their applications in energy storage devices. Recent publications highlight advancements in sodium-ion pseudocapacitors and the effects of structural water on energy storage kinetics.","- Unknown – Professor, North Carolina State University
- 2016 – NSF CAREER Award, National Science Foundation
- 2017 – Scialog: Advanced Energy Storage Team Award, Research Corporation for Science Advancement","The group currently includes undergraduate and graduate students interested in materials for electrochemical energy technologies. Alumni have pursued careers in academia and industry, contributing to advancements in energy storage solutions. The group emphasizes hands-on research experience and collaboration.","pseudocapacitance, energy storage, transition metal oxides, electrochemical interfaces, sodium-ion batteries, high-rate performance, nanostructured materials",https://mse.ncsu.edu/augustyn/
C:\Users\koand\Downloads\new_scrapes\Json\Balke‬.json,"Nina, Balke","The Balke Research Lab explores nanoscale materials functionality driven by electric fields and potentials, focusing on linking nanoscale behavior to macroscopic performance in energy and information technologies. The research centers on electromechanical, mechanical, and transport phenomena in inorganic systems and across fluid–solid interfaces. The lab employs state-of-the-art atomic force microscopy (AFM) for quantitative imaging and parameter extraction, integrating with theory and complementary multi-modal characterization techniques.","- 2021 – Associate Professor, North Carolina State University
- 2010 – Research & Development Staff Scientist, Oak Ridge National Laboratory
- 2008 – Feodor Lynen Research Fellow, Oak Ridge National Laboratory
- 2007 – Feodor Lynen Research Fellow, University of California at Berkeley
- 2006 – Postdoc, Technical University of Darmstadt
- 2003 – PhD, Technical University of Darmstadt","The lab currently hosts a diverse group of students, including doctoral students, postdoctoral researchers, and undergraduate students. Alumni have gone on to pursue careers in academia and industry, contributing to advancements in materials science and engineering. The lab emphasizes mentorship and professional development, preparing students for successful careers in research and technology.","nanoscale materials, electromechanical coupling, ionic transport, energy storage, functional oxides, atomic force microscopy, solid-liquid interfaces, transport phenomena",https://mse.ncsu.edu/balke/
C:\Users\koand\Downloads\new_scrapes\Json\Brenner.json,"Unknown, Brenner","The Brenner Research Lab focuses on computational materials science through atomistic modeling and simulation. The group develops new theoretical approaches and computational tools to investigate the fundamental properties of materials at the atomic scale, including metals, ceramics, polymers, and nanomaterials. Recent research includes the development of high-entropy ceramics and the application of molecular dynamics to predict material behavior. The lab aims to guide experiments and enable innovations in energy, electronics, and structural materials.","- Unknown – Principal Investigator, North Carolina State University
- Unknown – Kobe Steel Distinguished Professor, North Carolina State University
- Unknown – Department Head, North Carolina State University","The Brenner Research Lab is currently home to several doctoral students and postdoctoral researchers. Alumni have gone on to various successful careers in academia and industry, contributing to advancements in materials science. The lab actively seeks talented graduate students and postdoctoral researchers to join its team.","computational materials science, atomistic modeling, molecular dynamics, high-entropy ceramics, nanomaterials, energy, electronics, structural materials",https://mse.ncsu.edu/brenner/
C:\Users\koand\Downloads\new_scrapes\Json\Collazo‬.json,"Ramon, Collazo","The Wide Bandgaps Group focuses on the thermodynamic approach to metal organic chemical deposition processes of III-nitrides, control of polarity in III-nitride materials, and the development of technology for AlN and Al-rich AlGaN epitaxy on AlN single crystal substrates. Recent publications highlight advancements in ultrawide-bandgap semiconductors, challenges in UV emitter technology, and progress in n-type doping of AlGaN alloys.","- Unknown – PI, North Carolina State University","The lab is currently active with a focus on training students in advanced semiconductor materials and devices. Alumni have gone on to pursue careers in academia and industry, contributing to advancements in optoelectronics and materials science.","III-nitrides, AlN, AlGaN, semiconductors, epitaxy, UV emitters, doping, polarity control, materials science, optical properties",https://mse.ncsu.edu/collazo/
C:\Users\koand\Downloads\new_scrapes\Json\Gupta.json,"Rajeev, Gupta","The Corrosion and Advanced Materials Laboratory, led by Rajeev Gupta, Ph.D., focuses on the design, characterization, and performance of advanced metallic materials, particularly in corrosion science and surface engineering. The research aims to understand degradation mechanisms and develop innovative solutions to enhance the durability and functionality of metals in challenging environments. Key areas of expertise include corrosion initiation and propagation mechanisms, protective coatings, and the development of new metallic materials. The lab employs advanced characterization techniques to bridge fundamental insights with practical applications.","- 2020 – Associate Professor, North Carolina State University
- 2014 – Assistant Professor, The University of Akron
- 2013 – Research Academic, Deakin University
- 2010 – Ph.D., Monash University
- 2004 – B.Tech., Indian Institute of Technology Kanpur","The lab currently hosts several doctoral students and postdoctoral researchers, contributing to a vibrant research environment. Alumni have successfully transitioned into various roles in academia and industry, showcasing the lab's strong track record in training skilled professionals. The lab emphasizes hands-on experience and mentorship, preparing students for future challenges in materials science and engineering.","corrosion, materials science, surface engineering, metallic materials, advanced characterization, durability, degradation mechanisms, protective coatings, alloy design, electrochemical analysis",https://mse.ncsu.edu/rkgupta2/
C:\Users\koand\Downloads\new_scrapes\Json\Gwalani.json,"Bharat, Gwalani","The Gwalani Research Lab investigates the synthesis, processing, and performance of metallic materials, focusing on their behavior under extreme environments. The lab aims to uncover material vulnerabilities and tailor microstructures to enhance performance. Recent research includes advanced metallic alloys and composites designed for durability and sustainability, utilizing high-throughput discovery techniques and multi-scale characterization methods.","- 2022 – Assistant Professor, NC State University
- 2019 – Postdoctoral Researcher, Pacific Northwest National Laboratory
- 2017 – Postdoctoral Researcher, University of North Texas
- 2013 – Ph.D., University of North Texas","The Gwalani Research Lab is currently looking for talented graduate students and postdoctoral researchers to join the team. Alumni have successfully transitioned into various roles in academia and industry, reflecting the lab's commitment to developing skilled professionals in materials science and engineering.","metallic materials, extreme environments, microstructures, phase transformations, sustainable manufacturing, high-throughput techniques, multi-scale characterization",https://mse.ncsu.edu/gwalani/
C:\Users\koand\Downloads\new_scrapes\Json\Jones.json,"Jacob, Jones","The Jones Research Lab focuses on understanding how materials behave and evolve during processing using advanced in situ X-ray and neutron scattering techniques. This research aims to deepen the understanding of structure-property relationships, which is crucial for informed materials design and enhanced performance across various applications. The lab's expertise includes real-time analysis of functional materials, particularly piezoelectric materials, and the development of lead-free alternatives to traditional materials. Recent work has also expanded into crystallographic methods and applications in energy storage and environmental remediation.","- 2013 – Professor, North Carolina State University
- 2006 – Faculty Member, University of Florida
- 2025 – Award, Alexander Quarles Holladay Medal, NC State","The Jones Research Group includes a diverse array of students, including doctoral, graduate, and undergraduate researchers. Alumni have gone on to hold significant positions in academia and industry, with many contributing to advancements in materials science and engineering. Current students are engaged in cutting-edge research, particularly in piezoelectric materials and crystallographic methods, preparing them for successful careers in various fields.","materials science, piezoelectric materials, crystallography, energy storage, environmental remediation, lead-free materials, in situ analysis, X-ray scattering, neutron scattering, functional materials",https://mse.ncsu.edu/jones/
C:\Users\koand\Downloads\new_scrapes\Json\KUnocic.json,"Kinga, Unocic","Kinga Unocic's research focuses on materials for extreme environments, including high-temperature oxidation, corrosion, and radiation effects. Her work involves advanced in situ characterization using electron microscopy and alloy development for energy and environmental solutions. Recent publications include studies on Inconel 718 materials, low-Cr ODS FeCrAl alloys, and the development of sustainable aviation fuels from waste feedstocks.","- 2024 – Associate Professor, North Carolina State University
- Unknown – Staff Scientist, Oak Ridge National Laboratory","The lab is expected to grow as Kinga Unocic transitions to her role at NC State in 2024. Alumni outcomes are not specified, but the lab's focus on advanced materials suggests potential for students to engage in impactful research in energy and environmental applications.","materials, high-temperature, oxidation, corrosion, radiation, electron microscopy, energy, environmental solutions",https://mse.ncsu.edu/kaunocic/
C:\Users\koand\Downloads\new_scrapes\Json\LaBean.json,"Unknown, LaBean","The Biopolymer Engineering and Nanotechnology Laboratory focuses on designing and engineering self-assembling molecular materials using biopolymers, particularly DNA and proteins, as programmable building blocks. Leveraging molecular recognition principles from biology, the group creates artificial materials with nanometer-scale precision for applications in nanomedicine, molecular materials, and biomimetic nanoelectronics. Their research spans biopolymer engineering, soft matter nanofabrication to overcome scaling limits of electronics, and developing bionanotechnology tools for medical therapeutics, such as enzyme inhibitors and targeted cell receptor modulation.
Paper links: https://scholar.google.com/citations?user=9bgJ4C4AAAAJ&hl=en","- 2011 – Professor, NC State University
- Unknown – Principal Investigator, Biopolymer Engineering and Nanotechnology Laboratory","The lab currently includes a mix of graduate students, undergraduate students, and high school researchers. Alumni have gone on to various successful careers in academia and industry, reflecting the lab's strong emphasis on research and development in biopolymer engineering and nanotechnology.","biopolymers, DNA, nanotechnology, self-assembly, biomedical applications, molecular materials, nanomedicine, biomimetic, nanofabrication, enzyme inhibitors, cell receptors",https://mse.ncsu.edu/labean/
